                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0344,                 4.7726,                 4.1599,                  6e-05,                0.00309,                  3e-05,                  1e-05,                 4.0045,                 4.5208,                  4.109,             0.00046641,             0.00046641,             0.00046641
                      2,                 3.2723,                 3.8953,                 3.5308,                0.00024,                 0.0072,                0.00012,                  5e-05,                 3.9358,                 4.8067,                 4.1332,             0.00093341,             0.00093341,             0.00093341
                      3,                 2.5967,                 2.9035,                  2.521,                0.69809,                0.04835,                0.01761,                0.00655,                 2.7442,                 7.5627,                 2.9799,               0.001391,               0.001391,               0.001391
                      4,                   2.24,                 2.3192,                 2.0642,                0.89322,                0.18416,                0.20928,                0.11226,                 1.8847,                 2.8983,                 2.0841,              0.0013866,              0.0013866,              0.0013866
                      5,                 2.0811,                 2.0021,                 1.8499,                0.65232,                0.25498,                0.27744,                0.14946,                 1.7801,                 2.6701,                 1.9153,              0.0013866,              0.0013866,              0.0013866
                      6,                 1.9266,                 1.7476,                 1.6756,                0.83274,                0.29992,                0.33174,                0.17567,                 1.6519,                 1.9108,                 1.7608,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.8571,                 1.6279,                 1.6109,                0.82403,                0.31324,                0.35641,                0.19465,                 1.5983,                 1.6395,                 1.7378,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.7713,                 1.5314,                 1.5688,                0.78972,                0.30171,                0.33944,                0.18994,                 1.5972,                 1.5715,                 1.6727,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.7333,                 1.4313,                 1.5072,                0.77388,                0.35867,                0.39389,                0.22638,                 1.4271,                 1.4651,                 1.5404,                0.00133,                0.00133,                0.00133
                     10,                  1.689,                 1.3646,                 1.4606,                0.79391,                0.30956,                0.38507,                0.23671,                  1.418,                 1.3935,                 1.5621,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.5949,                 1.3108,                 1.4238,                0.77075,                0.36068,                0.42891,                0.26098,                 1.4088,                  1.288,                 1.5203,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.6214,                 1.2662,                 1.4055,                0.40545,                0.39057,                0.41352,                0.24108,                 1.4366,                 1.2251,                 1.5217,              0.0012875,              0.0012875,              0.0012875
